proxyId;institution;collection;category;validScientificNameId;validScientificName;validScientificNameAuthorship;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;identifiedBy;validated;catalogNumber;latitude;longitude;east;north;geometry;scientificNameRank;behavior;unspontaneus;unsureIdentification;hasImage;absent;notRecovered;dateLastModified;dateLastIdentified;occurrenceId;datasetName;datasetId;notes;habitat;sex;collectingMethod;recordNumber;fieldNumber;measurementMethod;georeferenceRemarks;preparations;otherCatalogNumbers;relatedResourceId;relationshipOfResource;typeStatus;eventTime;maximumElevationInMeters;minimumElevationInMeters;verbatimDepth;dynamicProperties;nodeId;institutionCode;collectionCode;popularNames;associatedReferences;hasErrors;blocked;qualityIssue
urn:uuid:ed671cbf-a8c8-48a5-aeb9-83e27afbf91b;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4252;Fringilla montifringilla;Linnaeus, 1758;bjørkefink;Fugler;Anne-Marie Austad;08.05.2023 00:00:00;Rønvikjordene Vest, Rønvikjordene, Bodø, No;874;Bodø;Nordland;1;HumanObservasjon;;True;31839351;67,28357;14,440194;475876;7463101;POLYGON ((475388 7463195, 475642 7463345, 475659 7463121, 476118 7463376, 476164 7463468, 476182 7463632, 476220 7463683, 476409 7463468, 476108 7463111, 475996 7462811, 475710 7462606, 475388 7463195));species;;False;False;False;False;False;26.08.2024 11:00:27;;urn:uuid:ed671cbf-a8c8-48a5-aeb9-83e27afbf91b;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2023-05-08/2023-05-08"",""Day"":""8"",""Month"":""5"",""Year"":""2023"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""bjørkefink""},{""Lang"":""nn-NO"",""Name"":""bjørkefink""},{""Lang"":""se-NO"",""Name"":""vintán""}]";https://www.artsobservasjoner.no/Sighting/31839351;False;False;False
urn:uuid:c36b81ae-b6ed-42f6-8a89-d9083978ae3a;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4007;Columba palumbus;Linnaeus, 1758;ringdue;Fugler;Anne-Marie Austad;08.05.2023 00:00:00;Bondegårdselva Rønvikjordene, Rønvikjordene, Bodø, No;568;Bodø;Nordland;4;HumanObservasjon;Validator: Steve Baines;True;31839322;67,281107;14,444434;476056;7462825;POLYGON ((476124 7463121, 476389 7462950, 476243 7462888, 476085 7462783, 476108 7462700, 475894 7462569, 475785 7462545, 475701 7462566, 475707 7462599, 475819 7462646, 475956 7462816, 475994 7462803, 476018 7462920, 476124 7463121));species;feeding;False;False;False;False;False;12.03.2024 12:15:37;;urn:uuid:c36b81ae-b6ed-42f6-8a89-d9083978ae3a;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2023-05-08/2023-05-08"",""Day"":""8"",""Month"":""5"",""Year"":""2023"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""4""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""ringdue""},{""Lang"":""nn-NO"",""Name"":""ringdue""},{""Lang"":""se-NO"",""Name"":""dielkoduvvá""}]";https://www.artsobservasjoner.no/Sighting/31839322;False;False;False
miljolare/fugl/1185424;Miljølære.no;fugl hos Miljølære.no;VU;185920;Chloris chloris;(Linnaeus, 1758);grønnfink;Fugler;Aud;28.01.2018 00:00:00;Skeid, bodø;;Bodø;Nordland;5;HumanObservasjon;;False;1185424;67,276861;14,443042;475992;7462352;POINT (475992 7462352);species;;False;False;False;False;False;29.01.2018 00:00:00;;miljolare/fugl/1185424;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1125189"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""5"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1185424"",""taxonID"":""508"",""vernacularName"":""Grønnfink""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""grønnfink""},{""Lang"":""nn-NO"",""Name"":""grønfink""},{""Lang"":""se-NO"",""Name"":""ruonábeibboš""}]";;False;False;False
miljolare/fugl/1562609;Miljølære.no;fugl hos Miljølære.no;LC;4375;Periparus ater;(Linnaeus, 1758);svartmeis;Fugler;Lena Karlson;30.01.2021 00:00:00;Bodø;;Bodø;Nordland;3;HumanObservasjon;;False;1562609;67,284223;14,457816;476636;7463167;POINT (476636 7463167);species;;False;False;False;False;False;01.02.2021 00:00:00;;miljolare/fugl/1562609;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1210553"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""3"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1562609"",""taxonID"":""483"",""vernacularName"":""Svartmeis""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""svartmeis""},{""Lang"":""nn-NO"",""Name"":""svartmeis""},{""Lang"":""se-NO"",""Name"":""čáhppesgaccet""}]";;False;False;False
urn:uuid:ae547f3d-beb3-483c-a11e-06eb02423463;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;296651;Acanthis flammea subsp. exilipes;(Coues, 1862);polarsisik;Fugler;Thorbjørn Aakre|Thale Bones Aakre;23.01.2021 00:00:00;Rønvikjordet, Bodø, No;100;Bodø;Nordland;2;HumanObservasjon;;True;25943805;67,282699;14,445592;476108;7463002;POINT (476108 7463002);subspecies;feeding;False;False;False;False;False;01.02.2025 01:31:26;;urn:uuid:ae547f3d-beb3-483c-a11e-06eb02423463;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2021-01-23/2021-01-23"",""Day"":""23"",""Month"":""1"",""Year"":""2021"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""polarsisik""},{""Lang"":""nn-NO"",""Name"":""polarsisik""},{""Lang"":""se-NO"",""Name"":""vilgesupmolcizáš""}]";https://mobil.artsobservasjoner.no/sighting/25943805;False;False;False
miljolare/fugl/1700048;Miljølære.no;fugl hos Miljølære.no;LC;4365;Cyanistes caeruleus;(Linnaeus, 1758);blåmeis;Fugler;Lena Karlson;30.01.2022 00:00:00;Bodø;;Bodø;Nordland;2;HumanObservasjon;;False;1700048;67,284223;14,457816;476636;7463167;POINT (476636 7463167);species;;False;False;False;False;False;31.01.2022 00:00:00;;miljolare/fugl/1700048;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1235473"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1700048"",""taxonID"":""516"",""vernacularName"":""Blåmeis""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""blåmeis""},{""Lang"":""nn-NO"",""Name"":""blåmeis""},{""Lang"":""se-NO"",""Name"":""alitgaccet""}]";;False;False;False
miljolare/fugl/1014236;Miljølære.no;fugl hos Miljølære.no;LC;4365;Cyanistes caeruleus;(Linnaeus, 1758);blåmeis;Fugler;Margaret Engmo;03.02.2016 00:00:00;Børsingveien 54;;Bodø;Nordland;3;HumanObservasjon;;False;1014236;67,27862;14,450913;476333;7462545;POINT (476333 7462545);species;;False;False;False;False;False;04.02.2016 00:00:00;;miljolare/fugl/1014236;;00000000-0000-0000-0000-000000000000;;;;;;;;;;;;;;;;;;"{""EventID"":""1075559"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""3"",""OrganismQuantityType"":""individuals"",""type"":""Event"",""references"":""https://www.miljolare.no/data/ut/art/obs/?od_id=1014236"",""taxonID"":""516"",""vernacularName"":""Blåmeis""}";429;miljolare;fugl;"[{""Lang"":""nb-NO"",""Name"":""blåmeis""},{""Lang"":""nn-NO"",""Name"":""blåmeis""},{""Lang"":""se-NO"",""Name"":""alitgaccet""}]";;False;False;False
urn:uuid:c14221fc-6134-4555-bc57-e721850539c5;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4332;Motacilla alba;Linnaeus, 1758;linerle;Fugler;Anne-Marie Austad;08.05.2023 00:00:00;Bondegårdselva Rønvikjordene, Rønvikjordene, Bodø, No;568;Bodø;Nordland;3;HumanObservasjon;;True;31839294;67,281107;14,444434;476056;7462825;POLYGON ((476124 7463121, 476389 7462950, 476243 7462888, 476085 7462783, 476108 7462700, 475894 7462569, 475785 7462545, 475701 7462566, 475707 7462599, 475819 7462646, 475956 7462816, 475994 7462803, 476018 7462920, 476124 7463121));species;;False;False;False;False;False;25.08.2024 10:30:13;;urn:uuid:c14221fc-6134-4555-bc57-e721850539c5;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;;;;;;;;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2023-05-08/2023-05-08"",""Day"":""8"",""Month"":""5"",""Year"":""2023"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""3"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""linerle""},{""Lang"":""nn-NO"",""Name"":""linerle""},{""Lang"":""se-NO"",""Name"":""beštor""}]";https://www.artsobservasjoner.no/Sighting/31839294;False;False;False
must/must/0346a49d-4bec-4328-0048877cc1621e25;MUST;must hos MUST;LC;4277;Hirundo rustica;Linnaeus, 1758;låvesvale;Fugler;;30.07.1962 00:00:00;RØNVIK SYKEHUS;5000;Bodø;Nordland;4;HumanObservasjon;;False;0346A49D-4BEC-4328-0048877CC1621E25;67,28333;14,45;476298;7463070;POINT (476298 7463070);species;possiblereproductive;False;False;False;False;False;30.07.1962 00:00:00;;0346A49D-4BEC-4328-0048877CC1621E25;Birds ringed with Norwegian rings 1961-1990|GBIF-2020_p06;00000000-0000-0000-0000-000000000000;;;Unknown;;;;;;;;;;;;;;;"{""lifeStage"":""Pullus"",""municipality"":""Bodø""}";332;MUST;must;"[{""Lang"":""nb-NO"",""Name"":""låvesvale""},{""Lang"":""nn-NO"",""Name"":""låvesvale""},{""Lang"":""se-NO"",""Name"":""láhtospálfu""}]";;False;False;False
urn:uuid:bccb6399-14c1-4d13-ac1b-218ee336301f;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;185988;Spinus spinus;(Linnaeus, 1758);grønnsisik;Fugler;Thorbjørn Aakre|Thale Bones Aakre;21.05.2023 00:00:00;Rønvikjordet, Bodø, No;100;Bodø;Nordland;1;HumanObservasjon;;True;31971523;67,282699;14,445592;476108;7463002;POINT (476108 7463002);species;;False;False;False;False;False;30.08.2024 08:47:36;;urn:uuid:bccb6399-14c1-4d13-ac1b-218ee336301f;;00000000-0000-0000-0000-000000000000;Activity: Ringed. Validationstatus: Approved Documented;;female;;;;;;;;;;;;;;;"{""Activity"":""Ringed"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2023-05-21/2023-05-21"",""Day"":""21"",""Month"":""5"",""Year"":""2023"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nn-NO"",""Name"":""grønsisik""},{""Lang"":""se-NO"",""Name"":""ruonácizáš""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""},{""Lang"":""nb-NO"",""Name"":""grønnsisik""}]";https://www.artsobservasjoner.no/Sighting/31971523;False;False;False
